,Country/territory,certified,Unnamed: 2,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),cert_2009,cert_2010,cert_2011,cert_2012,cert_2013,cert_2014,cert_2015,cert_2016,cert_2017,cert_2018,cert_2019,cert_2020,cert_2021
87,Fiji,1963.0,,Fiji,FJ,FJI,242,-18.0,175.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
88,Japan,2012.0,,Japan,JP,JPN,392,36.0,138.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
89,Kiribati,2012.0,,Kiribati,KI,KIR,296,1.4167,173.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
90,Marshall Islands,1963.0,,Marshall Islands,MH,MHL,584,9.0,168.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
91,"Micronesia, Federated States of",1963.0,,"Micronesia, Federated States of",FM,FSM,583,6.9167,158.25,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
92,Mongolia,1963.0,,Mongolia,MN,MNG,496,46.0,105.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
93,Nauru,1963.0,,Nauru,NR,NRU,520,-0.5333,166.9167,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
94,New Zealand,1963.0,,New Zealand,NZ,NZL,554,-41.0,174.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
95,Niue,1963.0,,Niue,NU,NIU,570,-19.0333,-169.8667,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
96,Palau,1963.0,,Palau,PW,PLW,585,7.5,134.5,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
97,Samoa,1963.0,,Samoa,WS,WSM,882,-13.5833,-172.3333,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
98,Singapore,1982.0, ,Singapore,SG,SGP,702,1.3667,103.8,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0
99,Tonga,1963.0,,Tonga,TO,TON,776,-20.0,-175.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
100,Tuvalu,2012.0,,Tuvalu,TV,TUV,798,-8.0,178.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
