,x,y,amount,person,country
149,103.9006718830036,23.844377543830834,78,#17B890,China
150,34.93965092522644,2.662483734632999,3,#17B890,Kenya
151,25.731562077350336,1.9309095485116021,13,#17B890,"Congo, the Democratic Republic of the"
152,-78.43948216963686,-3.7051732705026055,1,#17B890,Ecuador
153,73.78235424520193,29.620463012406116,4,#d52d1f,India
154,14.009137195707023,17.098279368124558,7,#17B890,Niger
155,-90.34961474394812,30.744409651485466,5,#17B890,United States
156,55.93539831016518,34.62572293974201,3,#17B890,"Iran, Islamic Republic of"
157,23.663779276500506,-4.067539352263992,13,#17B890,"Congo, the Democratic Republic of the"
158,105.55157504375318,27.372106490750603,78,#17B890,China
159,3.8348601258700805,8.286254206282386,11,#17B890,Nigeria
160,104.74334197401822,-2.3176542256715624,21,#17B890,Indonesia
161,95.3154321640967,20.72824755143045,2,#17B890,Myanmar
162,88.77051807307923,37.90240720762988,78,#17B890,China
163,98.87780873638265,31.647354305036735,78,#17B890,China
164,117.12747806834767,49.64306146514747,78,#17B890,China
165,-92.59351233107333,14.906433522778883,6,#17B890,Mexico
166,61.204055461106044,31.813702906165283,9,#17B890,Afghanistan
167,2.453672581406126,11.868908661541354,2,#17B890,Benin
168,116.72261581928998,44.49859224081347,78,#17B890,China
169,121.1943088234971,-3.268721562039155,21,#17B890,Indonesia
170,109.67365590505375,23.864175813128718,1,#d52d1f,China
171,63.18858748714573,32.30425883748869,9,#17B890,Afghanistan
172,9.564671305241674,9.185057580171403,7,#d52d1f,Nigeria
173,129.8425728290547,44.10020387150328,78,#17B890,China
174,95.12824531933794,32.22650346988927,78,#17B890,China
175,100.00181836526673,14.070724354958273,2,#17B890,Thailand
176,24.529343247385132,-1.4748012151906433,13,#17B890,"Congo, the Democratic Republic of the"
177,79.8003799367309,16.514031780875655,4,#d52d1f,India
178,-70.2628394553629,2.177754355015253,4,#17B890,Colombia
179,81.13085645097198,31.61179113726347,78,#17B890,China
180,103.154876209768,24.732258927919997,78,#17B890,China
181,25.12605899874476,-3.4675179694186955,13,#17B890,"Congo, the Democratic Republic of the"
182,73.09948827571029,23.707781609445632,4,#d52d1f,India
183,137.49394189642783,-3.194124975594132,21,#17B890,Indonesia
184,10.20503631625806,9.830761109995308,11,#17B890,Nigeria
185,121.58946609471528,-8.632278317276885,21,#17B890,Indonesia
186,10.365161553365681,52.26745554606273,5,#17B890,Germany
187,160.0104812367138,-9.801367434515559,1,#17B890,Solomon Islands
188,38.59223418113172,-14.95567613176631,7,#17B890,Mozambique
189,64.13173544473682,25.53698108241192,8,#17B890,Pakistan
190,60.94215860510266,31.73295712684986,9,#17B890,Afghanistan
191,96.17188118608527,34.90532652169369,78,#17B890,China
192,117.16077559877303,26.20445492906338,78,#17B890,China
193,33.47262883215724,3.58579370169263,1,#17B890,Uganda
194,77.54563501589283,40.75071995183369,78,#17B890,China
195,31.065461733632205,-27.190393221239336,6,#17B890,South Africa
196,41.56783110737754,6.412134261486861,1,#17B890,Ethiopia
197,87.00301952828055,36.62975796154456,78,#17B890,China
198,45.45905822933938,17.25111069563161,3,#17B890,Saudi Arabia
199,-93.9052653208013,31.11229032537018,5,#17B890,United States
200,34.47210634713353,-16.608319639938756,7,#17B890,Mozambique
201,-1.9855637088427522,8.055978416283537,1,#d52d1f,Ghana
202,24.350662772263856,-26.676704659211783,6,#17B890,South Africa
203,114.71926016777698,23.824915385644417,78,#17B890,China
204,109.92456772023932,18.78726726159417,78,#17B890,China
205,-0.12737219943491507,11.345178733227277,2,#17B890,Burkina Faso
206,11.083731537821109,9.155901905407266,7,#d52d1f,Nigeria
207,87.12893177290434,41.21409381065011,78,#17B890,China
208,121.19503065117634,12.847453358934722,4,#17B890,Philippines
209,148.88066815917688,-5.5224611566313895,1,#d52d1f,Papua New Guinea
210,90.14029645344749,24.64950143822986,2,#17B890,Bangladesh
